"short_name","name","detail"
"1-1","Ten Meter Simple Bridge",""
"1-2","A New Slope",""
"1-3","Bridge of Steel",""
"1-4","Fourteen Meter Overpass",""
"1-5","Checkpoints",""
"1-6","First Drawbridge",""
"1-7","Taxi Task",""
"1-8","Rope Support",""
"1-9","Budget Cuts",""
"1-10","First Jump",""
"1-11","Stop n' Go",""
"1-12","Rock Rest",""
"1-13","Redraw",""
"1-14","Land Brace",""
"1-15","Hydraulic Management",""
"1-16","Large Bridge",""
"2-1","Unity",""
"2-2","Long Drawbridge",""
"2-3","Low Rider",""
"2-4","Buggy Bouncer",""
"2-5","Rockin'",""
"2-6","Roundabout",""
"2-7","Double Decker Highway",""
"2-8","Split Level",""
"2-9","Anchors Away",""
"2-10","Fork in the Road",""
"2-11","Air Show",""
"2-12","Momentum",""
"2-13","Compression",""
"2-14","Dip n' Draw",""
"2-15","Weight Distribution",""
"2-16","Stow Away",""
"3-1","Loop Hole",""
"3-2","Big Dipper",""
"3-3","String Theory",""
"3-4","Doubling Down",""
"3-5","Semi Slope",""
"3-6","Rock Skipping",""
"3-7","Support Cable",""
"3-8","Crossed Paths",""
"3-9","Wibbly Wobbly",""
"3-10","Shafted",""
"3-11","Cross Jump",""
"3-12","Emergency Interference",""
"3-13","Diagonal Elevator",""
"3-14","Low Flyer",""
"3-15","Looper's Revenge",""
"3-16","Monster Truck Rally",""
"4-1","Edgy",""
"4-2","Collision Warning",""
"4-3","Sloped Drawbridge",""
"4-4","Trap Door",""
"4-5","Triple Decker Drawbridge",""
"4-6","Safety Gap",""
"4-7","Big Spender",""
"4-8","Thread the Needle",""
"4-9","Tipping Tower",""
"4-10","Drawbridge In Disguise",""
"4-11","Lean on Me",""
"4-12","Trailblazer",""
"4-13","Diagonal Drawbridge",""
"4-14","Big Rigs",""
"4-15","Twists and Turns",""
"4-16","Don't Leave Me",""
"5-1","Brake Pad",""
"5-2","Sorting",""
"5-3","Springboard",""
"5-4","Leverage",""
"5-5","Truck Way In",""
"5-6","Spring and a Miss",""
"5-7","Trading Places",""
"5-8","Passing By",""
"5-9","Falling Into Place",""
"5-10","In Suspense",""
"5-11","All Together Now",""
"5-12","Gettin' Loopy",""
"5-13","Crash Course",""
"5-14","Bus Routes",""
"5-15","Acceleration",""
"5-16","Double Duty",""
"6-1","Earthquake!",""
"6-2","Canyon Carriage",""
"6-3","Parkade Elevator",""
"6-4","Bridgelike Motion",""
"6-5","Edgeworks",""
"6-6","Spring Loaded",""
"6-7","Get a Grip",""
"6-8","How The Turntables",""
"6-9","Squeeze Through",""
"6-10","Bridge-in-a-Box",""
"6-11","Wall Jumpin'",""
"6-12","Mind the Gap",""
"6-13","Pinball",""
"6-14","Spin Cycle",""
"6-15","Special Delivery",""
"6-16","Rube Goldbridge",""

"1-1c","Ten Meter Simple Bridge","Springs instead of wood and limit on road."
"1-2c","A New Slope","Tanker Truck instead of Van."
"1-3c","Bridge of Steel","Road only."
"1-4c","Fourteen Meter Overpass","Very large boat."
"1-5c","Checkpoints","Fewer static joints"
"1-6c","First Drawbridge","Only 1 Hydraulic & only 8 Roads"
"1-7c","Taxi Task","Half budget and only 7 roads."
"1-8c","Rope Support","Missing balloon."
"1-9c","Budget Cuts","No static joint on rock."
"1-10c","First Jump","No Steel."
"1-11c","Stop n' Go","Extra boat, only 8 Road."
"1-12c","Rock Rest","Short 1 Road."
"1-13c","Redraw","Large Boat."
"1-14c","Land Brace","Platform on left side too."
"1-15c","Hydraulic Management","No Hydraulics"
"1-16c","Large Bridge","No Steel."
"2-1c","Unity","Model T must come back."
"2-2c","Long Drawbridge","Low checkpoints added."
"2-3c","Low Rider","No rock in middle."
"2-4c","Buggy Bouncer","No springs and no anchor on balloon."
"2-5c","Rockin'","Much larger rock."
"2-6c","Roundabout","Must collect bottom checkpoint first."
"2-7c","Double Decker Highway","Missing island."
"2-8c","Split Level","Only 10 Road."
"2-9c","Anchors Away","No static joint on bottom."
"2-10c","Fork in the Road","Added checkpoint."
"2-11c","Air Show","Stop checkpoint in the middle."
"2-12c","Momentum","Only 7 Roads."
